Feature,Fisher_Score
SCG3,1214.13457064709
SVOP,1165.8998865835802
NRN1,1153.0449024568684
ATPIF1,1133.1419493308392
NEUROD6,1132.0298507258958
CBLN4,1121.7534310768135
CRYM,1116.1000589359312
CRH,1093.8715306566978
TSPAN7,1053.3154913189842
TMEM118,1049.618947738881
PAK1,1049.063912106608
BEXL1,1041.8010993414005
HPRT1,1041.69558412116
ANKRD39,1038.8443653843965
RGS4,1035.8197364424886
BDNF,1033.5128851085362
FGF13,1032.3168521853286
NCALD,1027.334060250524
AIG1,1019.6220860393713
HSPB3,1015.4731661315501
GNRH1,1010.5824868943383
TCEAL5,1001.9108613769954
LANCL2,1000.125705885315
CAPS,998.4672583479121
LRTM2,994.8054009109367
RGS7,973.7258300726694
VSNL1,968.4563501383612
C5orf13,964.3852477266898
PPP2R2B,961.432500526191
MAL2,959.2752480919403
BEX1,956.8188832652131
TBC1D2B,955.6599649280136
NAP1L5,954.3186862352688
GPRASP1,953.3625731361019
ITPKB,950.8434460751662
BEX2,950.7160837873671
CAMK4,939.3612098127189
PNRC1,936.3203530801998
CHGB,933.2691895496391
NGFRAP1L1,929.7711787649031
C13orf1,928.0234234933558
SCG5,926.3938584293411
FRMPD2,925.6851059996097
RBP4,924.5064093257039
CA10,924.2457939936853
AFF1,920.4807042767159
C1orf173,919.2716728814487
OLFM3,917.9367014700897
PCLO,915.8300477778793
NFKBIA,912.1228645859061
CCDC46,909.2847009895789
CNTNAP2,904.6399134445926
CARD6,903.5157937539068
CD200,901.2689776002796
STAT4,900.8729691607475
ZNF438,898.7925420125854
CORT,895.6846021811597
GNG3,894.8345568313578
RAF1,892.4325380937477
SCG2,889.524967357888
FANCC,884.4337000617345
MYT1L,884.261366913039
ANTXR2,882.5730539843671
C6orf142,881.166120530752
CD59,876.8326803422672
CDKN2D,876.1485440130763
RUFY1,874.8237170924856
CHCHD6,873.0553300509677
MICA,869.6040213318454
SRD5A1,866.0170974999712
CCKBR,864.5408596679006
VIP,863.702266186568
UBE2V1,862.385916220185
MOV10L1,860.9716449599525
C10orf104,860.4614869648321
C1orf132,859.6318819460623
PCP4L1,854.4997649283107
OCIAD1,853.6421086000258
CAP2,852.4268409956394
ZCCHC12,850.5733691608783
PTPN5,849.2942171990301
SORCS3,845.1960911386459
SEH1L,840.927377986297
GPRASP2,839.9516724112286
RUNDC1,839.3872429274289
FKBP5,837.0557043633146
SLCO4A1,836.6490813831626
PPFIA2,836.449455988776
TMEM132D,836.400996458123
WSB2,835.4433125782747
FBXO16,834.9448455393167
USP11,833.575378817595
BCL6,831.9682272942537
CIRBP,829.9295431094282
GLT25D1,829.7809665125114
C17orf76,829.4536713336042
SERPINI1,827.8878680505893
IMP4,827.7066768706364
GEM,827.3714449110416
BRE,827.1395607180784
TAC1,826.3847485002389
VKORC1L1,824.1383620899863
ACTR3B,823.2843094517588
C1orf165,823.1889567100816
HSD17B1,822.783864365185
DDX25,821.5914237716212
EGR3,821.504681303566
TASP1,819.9403787087747
GAD2,818.9272050485404
RFPL2,818.7709392677106
SLC30A3,818.4315584057995
ATP5G1,816.4696046375617
PRMT8,813.2275580706093
CDK5R2,813.0913817244008
DUSP4,810.9148119704822
TMEM14B,807.5983691322008
MAST3,802.7391672140361
TXN,801.2769013688069
NAPB,800.8960423857692
TMEM130,800.6820088488851
ATPAF1,799.2188335703279
PPP1R7,799.039841132437
NRXN3,798.0640636517002
PCDH8,798.0604995200526
C3orf26,795.2897471396874
ARPC5L,794.2301026807214
RABEPK,794.0466731117647
GPR120,793.7966735569073
ATP6V1E1,791.9271106143378
TECTA,790.0918556577907
STK38,789.2782192221446
PFN2,789.0878486414232
GSTA4,787.9280843752699
BCAT2,787.91076848938
BCL2L2,787.1131476077356
DGCR6,785.7301840362657
JAKMIP1,784.715820772341
RP3-402G11.12,783.7422036878688
MECR,782.3018049158001
NECAP1,782.0370951396154
NRIP3,780.9998541822548
SLC32A1,778.9400165592328
C4A,778.3866413512474
ZFP36L1,778.0960496703163
ATOH8,776.6010578505086
KHDRBS2,775.087029201544
TUBB4,775.0620324043463
RIMBP2,774.6346138359876
RP3-398D13.1,774.0943938530651
DSCR2,772.5219737246475
VMP,771.753782810529
C4B,770.7541580173468
RTN1,768.51792162543
C11orf31,767.5095991461594
SST,766.4866561935078
UBLCP1,765.421870920308
SLC10A4,765.2292985109594
MRPL30,763.757600337214
SASH1,763.4391091737257
DOK1,762.0886611901797
ITGA2B,761.2639303429033
ROBO2,761.0843102476746
C16orf5,760.6929587402512
CAPN2,760.4703333435882
CASC3,758.8803994039091
OLFM1,758.6339114620158
C1QTNF4,758.4836733058008
ASXL1,757.9533383763122
FNDC5,757.8715727042081
C14orf122,757.3541178841274
NDUFA7,757.1205713200093
ATP6V1G2,755.8929353100875
SGIP1,755.4318745922671
MMEL1,754.2904213579177
C6orf105,754.1325883468248
GPR158,751.4192471624847
GFAP,750.9103893633096
IGF1,750.6955643989929
EMP3,750.5330436600146
KLF15,750.1515836606122
PLK2,749.6469295151082
ATP5L,749.6160746593202
CHCHD7,748.264089470611
ELMOD1,747.2019618936038
FREM3,746.1194676671834
TSSC1,745.3437358561057
RP11-393H10.2,744.6901411228029
MOBKL2C,744.4615214293436
MAP3K7IP2,743.9635609755958
SNX10,743.8166602063677
ALKBH6,743.6061370926225
ATP8A2,743.5736302901133
TAGLN3,742.9038766436978
RTF1,742.227129281576
PHF10,741.3332162095664
TCEAL2,741.1282029315806
HRBL,740.2146629655206
DLX1,740.0183493881806
CDH9,739.2370067160493
GABRD,737.7663284561637
ITPA,737.1500419346875
METTL7B,737.1254667464126
TLN2,737.0118434435508
NDUFC2,736.6983023180981
SLN,733.9746846545686
ATP9A,733.7188917045484
KHDRBS1,729.7065996272975
POP4,729.4359243980009
ADCYAP1,729.4136729878089
SPG3A,729.2851870438329
TMEM43,729.2344151939396
DYNC1I1,728.6962437266744
SLC25A3,728.2581013039343
HKR2,727.9488039195772
C1orf162,726.8053372325434
HSD11B2,725.6353667336084
COPS7A,724.4514324630125
ATRNL1,723.1594626005271
PGM2L1,722.7143378831275
SCN3B,722.7132822766994
NMU,721.6897447393703
TMEM132B,719.397836197084
LHFPL2,719.1091194262303
SLC39A10,718.6724358514498
TM7SF2,718.504581342315
NMS,717.0040146010634
GMPR,716.8750666733036
ZBTB1,716.6529115422263
RGL2,716.5319125437957
PTPRR,716.300673477117
C18orf1,714.4226161443182
TCEAL7,714.2800005557694
RAB6A,714.1694081450559
CEBPB,714.1331261950552
SNCA,713.3126368702751
TCEB1,712.3666286433916
PRKD3,711.5289465790161
MTMR11,711.1673631333805
PRELP,710.58756121591
SNAP25,709.628400150016
C1orf57,708.1950469436562
CES7,707.9015787378987
NIPSNAP1,707.6315777634456
YWHAZ,707.4135389406207
C10orf35,707.3220378307822
PMS2L4,706.0651199072514
KRT5,705.9589029941178
LRRTM1,705.8460253147732
SLC12A5,703.7637724544281
RAB6C,702.2477199155423
C1orf115,701.7718806363848
GALNT11,701.6546756473656
ARHGEF6,701.6404247518956
BCAS2,700.5465505571658
TSPAN13,700.2009291816128
TUBB4Q,700.0219138294083
GOLT1A,699.9631705498193
PTPRN2,699.8213838170442
ST6GALNAC5,699.5738690851418
PMS2L11,698.6303212638658
SYTL4,697.3268862383276
CNKSR2,697.3051600187332
C6orf152,696.762598150676
PTPN3,696.7186458056439
C1orf95,695.6875204503003
BCL11A,695.4756382762575
KCTD1,695.0821932250878
SCOC,694.8576617955997
STYK1,694.549210777266
NDUFB5,693.8670559365048
GABARAPL1,693.6803691712439
PNOC,693.5804212416224
CD2BP2,692.1666774630985
ATP5J,691.6068740798414
SAFB2,691.4270238973813
ENO2,691.31054459145
TIMM23,691.0512526229653
TNFRSF10B,690.7467226646772
VSIG4,689.729741337178
GARNL3,689.6259681416034
CENTD2,689.2461819424051
TMEM24,688.1045290046166
BFSP1,688.0806578628024
C20orf103,687.7816306476217
INPP5F,687.4446401926925
SLC16A14,685.9330888293572
TUBB2A,685.6022001493576
BHLHB4,684.8361194407752
SNAP91,684.7862354276446
KCNF1,684.3148068060573
FAM89A,683.5548213240685
CBLN2,683.1815765064907
SIPA1,683.0067612680655
PXN,682.9592599159048
RELA,682.5380602337382
MAGEE1,682.490245648645
ACTR1B,682.4544821827537
GABRA5,682.4190084394575
RP5-1022P6.2,682.1861815248764
MLLT11,681.769428272909
STARD10,681.6015220842678
GRIK1,681.5043735661314
R3HDM1,680.4694715933834
BTG1,680.4584908592697
