Name,Score
OR52A5,2485.096760857949
DEFA1,1960.4383397145803
DEFA3,1894.8687853115434
GPR128,1835.9962894407117
LAMB3,1731.8412469908358
CHI3L2,1679.223134999912
CACNG6,1623.972887823115
GUCY1B3,1616.1889573208364
TBC1D9,1608.3551370000425
HOXA13,1608.005945331507
SEC23A,1607.6670272813526
ARL4C,1604.478045756957
KLHDC5,1603.9810386996105
DIRAS2,1601.6930935407843
MAP2K1,1598.883066389003
CIDEA,1597.5860531734634
ATP6V1A,1595.8586963718662
CBWD3,1594.871224630871
RUVBL1,1592.2808723261812
PIK3CB,1592.0848204191077
ACTN2,1591.7068027835828
ADSS,1591.4668711364243
PPM1H,1590.9194546936235
DRD1,1587.9725413901085
C14orf44,1587.217307996063
DMXL2,1584.9705398852986
RRAGB,1582.5901520015066
GADD45A,1582.203286166032
KIFAP3,1581.8177948562402
CMAS,1579.0598763169264
C1orf128,1573.789255137657
TOMM70A,1571.9025486535418
GPR137C,1569.2794229709516
GOT1,1568.013535619662
SC5DL,1564.206738652503
FAM98A,1561.3134975821113
NAPSB,1560.3008515311235
WDR42B,1559.3906804391
EPB41L3,1558.7293727691306
ATP6V1B2,1557.5011269774334
FRMPD4,1557.3186290440447
HIVEP2,1557.1772037265662
C1QL3,1555.3369886630107
MCF2,1555.224853304361
YARS,1551.164705327749
CEP170L,1550.6416862860406
NPAS4,1547.00807788045
TCEAL4,1546.0464887680273
LGALS13,1544.3054922846409
RAB3B,1543.7213089571312
RFWD2,1543.4446811621674
GOT2,1543.4189655651041
CRI2,1542.9748917943164
ARHGAP20,1542.4923352408175
HN1,1541.906483971348
SYT1,1541.7439278673428
NMS,1541.6391717936822
SST,1541.3640025235322
PPM1E,1541.2060510345223
PRKAR1A,1540.6599963838185
OXCT1,1540.4426936658133
RDS,1539.431327404041
ANK2,1538.730446924507
SNAPC5,1537.6545562151612
NLK,1536.5310032377886
IPO7,1535.402686310039
C12orf5,1533.7423219394811
HS3ST2,1533.2116561343119
C3orf14,1533.1420234401364
SBDS,1532.7154777492274
C15orf23,1532.2390418678872
LRRTM2,1532.1249691346788
POLR3K,1532.1149732154438
CEP68,1532.093788512997
TBR1,1531.8793734927249
B4GALT6,1530.2477251940488
LMO3,1529.5673691866
RANBP6,1528.8285540606853
CNDP1,1527.2998646482097
NAPG,1526.3773091104656
RP11-56A21.1,1525.6112120490504
THAP5,1525.4883905985575
CCDC100,1525.1170636907216
VGCNL1,1524.6116444215186
P2RY12,1523.1731049982598
NCK2,1523.0884105735465
SEMA3E,1522.955354764265
GTF2H5,1521.980058522727
NAV3,1521.8782177904059
OR4K5,1521.8029315728102
FOLH1,1521.4830127337243
ABHD6,1521.317983926531
GLDN,1520.6407648938878
CHRM3,1520.3402022404327
CRY1,1520.2017388972226
MAML3,1519.8825874236215
PREI3,1519.5739470698759
TSN,1519.2079926423294
ARIH1,1518.8106353355047
NELL1,1518.7869795048837
PLK2,1518.786831643846
CAPZA2,1518.6768774549193
RALB,1518.3570620380242
RAB3GAP1,1517.5579436568723
C11orf46,1517.250092300066
ARMCX3,1517.246323146831
OTUD1,1516.625250400829
ZNF238,1516.0521167242048
NTN2L,1516.043493647609
HBS1L,1515.8588435014371
YAF2,1515.5463714021794
PAK3,1514.7829898273483
CNKSR2,1514.0705890406427
PSMD14,1513.2663209271534
BTAF1,1512.3743663896248
CAMSAP1,1511.8790270896873
GPR37,1511.3818360724313
KIAA1467,1510.857619279968
TMEM85,1509.9170214943958
GRIK2,1509.6505882785198
COPS4,1508.487144871178
GNG2,1508.1446205531902
RAN,1507.4452368540403
AGTPBP1,1505.2083491553528
RNASEH1,1504.8472978301866
ATP6V1C1,1504.129854355473
LGR7,1503.978476194065
LGALS8,1503.6073535252956
MAGEH1,1503.5199774745076
NPY,1502.7002301854816
COPS3,1502.6944107382913
IMPAD1,1502.6549933684687
RPE,1502.191021125761
NME7,1500.887381289184
TERF2IP,1500.619514078481
RYBP,1500.210125366004
ATP6AP2,1499.6626880366418
